countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
SEYCHELLES,0.01,0.03,0.01,0.01,0.12,0.21,0.02,0.0,0.01,0.02,0.03,0.04,0.02,0.05,0.01,0.01,0.02,0.01,0.0,,,0.01,0.04,,,0.01
NEPAL,6.85,11.05,8.27,9.87,11.31,10.28,9.91,7.94,10.06,9.17,5.64,5.4,3.69,3.28,4.49,1.6,1.36,1.23,1.2,0.88,1.01,0.99,0.21,0.85,0.45,0.25
NAMIBIA,0.0,0.01,,0.03,0.01,0.07,0.07,0.03,0.02,0.07,0.01,0.03,0.0,0.0,0.11,0.07,,,,0.01,,,,,,
MOZAMBIQUE,0.07,0.02,0.01,0.03,,0.0,,0.01,,0.03,0.0,,,0.01,0.0,0.0,0.0,0.01,,0.12,,0.02,0.03,,,
MOROCCO,0.19,0.58,0.45,0.45,0.5,0.51,0.71,0.66,0.43,0.05,0.25,0.11,,,,,,,,,,,,,,
JORDAN,0.61,1.07,0.67,0.57,0.93,1.1,1.25,0.68,1.27,0.23,0.09,0.07,,,,0.0,0.0,,0.06,,0.01,,,,,
KENYA,0.23,0.7,0.3,0.28,0.13,0.15,0.21,0.27,0.25,0.11,0.04,0.04,0.02,0.05,0.05,0.04,0.02,0.0,0.09,0.15,0.04,0.0,,0.01,,
KOREA RP,,0.02,0.03,0.02,,,0.09,14.66,0.26,0.0,0.11,,,,,,,0.02,0.03,0.01,,,,,0.04,
KUWAIT,1.01,2.22,1.9,1.78,2.05,2.06,1.92,2.74,1.55,0.11,0.74,0.44,0.11,0.01,0.02,,0.0,0.01,0.05,0.01,0.04,0.01,0.07,,,
LEBANON,0.02,0.05,,0.23,1.07,1.28,1.24,1.4,1.44,0.13,0.23,0.15,,,,,0.0,0.0,0.04,,,,,,,
LIBERIA,0.01,0.14,0.2,0.09,0.03,0.04,0.06,0.03,0.06,0.04,0.03,0.08,0.05,0.01,0.02,0.04,0.0,0.0,0.0,0.0,,,,0.0,,
LIBYA,0.07,0.37,0.2,0.43,0.11,0.25,,0.47,1.1,0.17,0.04,0.06,,0.07,,,,,,,,,,,,
LUXEMBOURG,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
MADAGASCAR,0.01,0.0,0.06,0.02,0.18,0.12,0.12,0.02,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.05,0.0,0.01,0.02,0.01,0.01,,0.01,0.01,,0.0
SINGAPORE,0.49,0.51,0.21,1.19,1.21,1.04,8.87,13.88,1.92,0.81,0.67,0.77,0.53,0.36,0.04,0.02,0.07,0.01,0.04,0.07,0.02,0.0,0.01,0.01,0.0,
MALAWI,0.0,0.0,0.0,0.0,0.0,,,,0.03,,,,0.03,,,0.0,,0.0,,,0.0,,,,,
MALDIVES,1.02,1.33,0.69,0.89,1.01,1.08,0.91,0.84,0.96,0.82,0.51,0.45,0.16,0.08,0.02,0.05,0.02,0.05,,0.02,,0.01,,,,
MALI,0.01,0.08,0.03,,,0.01,,,,,,,,,,,,,,,0.01,0.02,,,,
MAURITANIA,0.06,0.41,0.2,0.06,,,,,,,,,,,,,,0.02,,,,,,,,
MAURITIUS,0.04,0.02,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.05,,0.0,0.01,0.01,0.04,0.03,0.07,0.04,0.07,0.02,0.02,0.02,,
MYANMAR,0.0,0.12,0.38,0.87,0.74,0.18,0.32,0.03,,,,,,,0.02,0.02,,0.06,0.03,0.03,,0.04,0.05,0.03,0.04,0.11
MEXICO,0.11,0.02,0.12,0.31,0.27,,,,,0.03,0.14,,0.0,,,0.02,,,,,,,,,,
MALAYSIA,4.04,5.32,4.47,5.83,6.48,6.18,3.93,4.49,1.77,0.1,0.1,0.48,2.14,1.95,0.32,0.0,0.01,0.3,0.01,0.01,0.0,0.0,0.01,0.02,,0.01
GIBRALTAR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
%Share,0.0242,0.0285,0.0367,0.0408,0.042,0.0421,0.0387,0.0493,0.0292,0.0225,0.0141,0.0074,0.0061,0.0064,0.007,0.0058,0.0057,0.0041,0.0048,0.0062,0.0048,0.0064,0.0046,0.0081,0.0065,0.0063
India's Total,298285.79,422004.4,291808.48,313361.04,330078.09,303526.16,275852.43,262291.09,310338.48,314405.3,300400.58,305963.92,249815.55,178751.43,185295.36,163132.18,126414.05,103090.53,83535.94,63842.55,52719.43,43826.72,44560.29,36822.49,33218.72,34784.98
Total,72.23,120.35,107.24,127.87,138.7,127.8,106.67,129.37,90.49,70.64,42.44,22.63,15.23,11.46,12.89,9.52,7.15,4.21,3.98,3.97,2.5,2.82,2.05,2.98,2.17,2.18
